10.0.100.1 10.0.1.0 0 0	0 	 
10.0.100.2 10.0.2.0 20 1 0	
10.0.100.3 10.0.3.0 40 2 0
10.0.100.4 10.0.4.0 60 3 0
10.0.100.5 10.0.5.0 80 4 0
10.0.100.6 10.0.6.0 100 5 0
10.0.100.7 10.0.7.0 120 6 0
10.0.100.8 10.0.8.0 140 7 0
10.0.100.9 10.0.9.0 160 8 0
10.0.100.10 10.0.10.0 180 9 0
10.0.100.11 10.0.11.0 200 10 0 		 
10.0.100.12 10.0.12.0 220 11 0
10.0.100.13 10.0.13.0 240 12 0	
10.0.100.14 10.0.14.0 260 13 0
10.0.100.15 10.0.15.0 280 14 0
10.0.100.16 10.0.16.0 300 15 0
10.0.100.17 10.0.17.0 320 16 0
10.0.100.18 10.0.18.0 340 17 0
10.0.100.19 10.0.19.0 360 18 0 
10.0.100.20 10.0.20.0 380 19 0
10.0.100.21 10.0.21.0 400 20 0  	 
10.0.100.22 10.0.22.0 420 21 0
10.0.100.23 10.0.23.0 440 22 0
10.0.100.24 10.0.24.0 460 23 0
10.0.100.25 10.0.25.0 480 24 0
10.0.100.26 10.0.26.0 500 25 0
10.0.100.27 10.0.27.0 520 26 0
10.0.100.28 10.0.28.0 540 27 0
10.0.100.29 10.0.29.0 560 28 0
10.0.100.30 10.0.30.0 580 29 0
10.0.100.31 10.0.31.0 600 30 0 	 
10.0.100.32 10.0.32.0 620 31 0
10.0.100.33 10.0.33.0 640 32 1
10.0.100.34 10.0.34.0 660 33 1
10.0.100.35 10.0.35.0 680 34 1
10.0.100.36 10.0.36.0 700 35 1
10.0.100.37 10.0.37.0 720 36 1
10.0.100.38 10.0.38.0 740 37 1
10.0.100.39 10.0.39.0 760 38 1
10.0.100.40 10.0.40.0 780 39 1
10.0.100.41 10.0.41.0 800 40 1 	 
10.0.100.42 10.0.42.0 820 41 1
10.0.100.43 10.0.43.0 840 42 1
10.0.100.44 10.0.44.0 860 43 1
10.0.100.45 10.0.45.0 880 44 1
10.0.100.46 10.0.46.0 900 45 1
10.0.100.47 10.0.47.0 920 46 1
10.0.100.48 10.0.48.0 940 47 1
10.0.100.49 10.0.49.0 960 48 1
10.0.100.50 10.0.50.0 980 49 1
10.0.100.51 10.0.51.0 1000 50 1 	 
10.0.100.52 10.0.52.0 1020 51 1
10.0.100.53 10.0.53.0 1040 52 1
10.0.100.54 10.0.54.0 1060 53 1
10.0.100.55 10.0.55.0 1080 54 1
10.0.100.56 10.0.56.0 1100 55 1
10.0.100.57 10.0.57.0 1120 56 1
10.0.100.58 10.0.58.0 1140 57 1
10.0.100.59 10.0.59.0 1160 58 1
10.0.100.60 10.0.60.0 1180 59 1
10.0.100.61 10.0.61.0 1200 60 1 	 
10.0.100.62 10.0.62.0 1220 61 1
10.0.100.63 10.0.63.0 1240 62 1
10.0.100.64 10.0.64.0 1260 63 1
